name,community,,Total:,  Male:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,  Female:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over
,,Margin of Error,*****,+/-114,+/-78,+/-383,+/-386,+/-39,+/-136,+/-244,+/-259,+/-280,+/-133,+/-106,+/-383,+/-385,+/-127,+/-74,+/-298,+/-229,+/-263,+/-204,+/-206,+/-234,+/-182,+/-167,+/-178,+/-114,+/-43,+/-355,+/-351,+/-40,+/-118,+/-272,+/-219,+/-290,+/-125,+/-66,+/-368,+/-384,+/-95,+/-111,+/-309,+/-237,+/-269,+/-169,+/-240,+/-262,+/-178,+/-185,+/-238
"Bucks County, Pennsylvania",Philadelphia,Estimate,624351,306297,17525,19843,22620,14270,7800,3655,3521,9841,16731,16295,19424,23159,26921,26444,21865,7764,10279,5982,6698,8804,7325,5184,4347,318054,16807,19155,20955,13520,6777,3253,3172,9420,16566,16672,20157,24196,27863,26806,22773,8079,10724,5927,8058,10310,9192,8363,9309
,,Margin of Error,*****,+/-95,+/-65,+/-724,+/-723,+/-59,+/-65,+/-368,+/-382,+/-463,+/-46,+/-34,+/-638,+/-631,+/-45,+/-32,+/-656,+/-539,+/-616,+/-395,+/-419,+/-494,+/-358,+/-349,+/-302,+/-95,+/-61,+/-759,+/-752,+/-53,+/-2,+/-349,+/-306,+/-412,+/-46,+/-59,+/-631,+/-623,+/-69,+/-72,+/-616,+/-473,+/-555,+/-445,+/-492,+/-514,+/-429,+/-393,+/-478
"Chester County, Pennsylvania",Philadelphia,Estimate,495651,243433,15931,18112,17622,11639,7288,3206,3435,8227,13543,13564,16325,18399,20213,19330,17020,5474,6825,4323,5041,6261,5159,3512,2984,252218,15253,17096,17188,10704,7389,3431,2629,8447,13233,13804,16647,19385,21057,19870,17095,5508,7906,4501,5467,7348,6557,5698,6005
,,Margin of Error,*****,+/-90,+/-38,+/-576,+/-572,+/-34,+/-32,+/-305,+/-360,+/-506,+/-31,+/-42,+/-574,+/-573,+/-41,+/-35,+/-589,+/-459,+/-491,+/-366,+/-375,+/-361,+/-319,+/-271,+/-261,+/-90,+/-81,+/-592,+/-593,+/-40,+/-251,+/-342,+/-310,+/-489,+/-31,+/-107,+/-514,+/-511,+/-56,+/-78,+/-560,+/-453,+/-457,+/-346,+/-380,+/-396,+/-429,+/-393,+/-412
"Delaware County, Pennsylvania",Philadelphia,Estimate,557648,267136,17092,17871,18631,13281,10039,4924,4014,10345,16752,15378,16139,18356,20573,20694,17359,5755,7876,4175,5205,6953,6096,5037,4591,290512,16561,17040,18200,11955,9465,4492,4355,10585,17544,16425,17720,19449,22324,22426,18196,7456,8732,5114,6006,9275,9499,8374,9319
,,Margin of Error,*****,+/-67,+/-37,+/-655,+/-656,+/-45,+/-162,+/-417,+/-454,+/-515,+/-24,+/-43,+/-615,+/-618,+/-55,+/-49,+/-498,+/-365,+/-479,+/-273,+/-356,+/-351,+/-342,+/-327,+/-346,+/-67,+/-30,+/-611,+/-609,+/-17,+/-50,+/-406,+/-460,+/-487,+/-60,+/-24,+/-557,+/-553,+/-50,+/-55,+/-606,+/-448,+/-462,+/-378,+/-377,+/-423,+/-491,+/-458,+/-469
"Montgomery County, Pennsylvania",Philadelphia,Estimate,794921,385372,24036,25133,27035,17208,9520,4120,4006,13263,24239,23604,25838,28973,31287,30572,25807,9235,11880,6924,8461,10651,9631,7781,6168,409549,22910,24866,25527,16223,9182,4297,4052,13118,23704,23814,26994,29458,33196,32114,26914,10538,13015,7778,9254,13949,13348,12070,13228
,,Margin of Error,*****,+/-71,+/-85,+/-688,+/-694,+/-30,+/-44,+/-418,+/-389,+/-538,+/-32,+/-51,+/-684,+/-688,+/-55,+/-51,+/-625,+/-557,+/-632,+/-478,+/-470,+/-503,+/-354,+/-417,+/-401,+/-71,+/-42,+/-664,+/-678,+/-38,+/-4,+/-326,+/-405,+/-445,+/-70,+/-67,+/-795,+/-802,+/-44,+/-54,+/-572,+/-537,+/-507,+/-441,+/-448,+/-470,+/-589,+/-527,+/-560
"Philadelphia County, Pennsylvania",Philadelphia,Estimate,1514456,713241,51016,47261,46054,31174,27005,15019,14438,38454,64288,51745,46232,45223,46719,45875,37775,14794,18557,10047,12932,16586,13729,9911,8407,801215,49508,44225,45489,31246,28265,16185,14693,41183,71235,55711,48942,49993,51986,52557,45248,18308,22540,13399,16799,23957,21928,18323,19495
