name,community,,Total:,  Entered 2000 or later:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered 1990 to 1999:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered 1980 to 1989:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered before 1980:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen
"San Jose-Sunnyvale-Santa Clara, CA Metro Area; California",San Jose,Estimate,685312,209926,5063,204863,27013,177850,204305,4363,199942,107087,92855,146958,3999,142959,106468,36491,124123,9082,115041,96891,18150
,,Margin of Error,"+/-5,582","+/-4,748",+/-604,"+/-4,686","+/-1,468","+/-4,522","+/-3,690",+/-508,"+/-3,750","+/-3,158","+/-2,430","+/-3,130",+/-528,"+/-3,079","+/-2,467","+/-1,676","+/-2,603",+/-698,"+/-2,530","+/-2,197","+/-1,144"
"Boulder, CO Metro Area; Colorado",Boulder,Estimate,36601,14070,542,13528,1493,12035,10195,570,9625,3565,6060,4989,754,4235,2451,1784,7347,1857,5490,4199,1291
,,Margin of Error,"+/-1,288",+/-979,+/-206,+/-959,+/-369,+/-900,+/-974,+/-188,"+/-1,013",+/-593,+/-742,+/-518,+/-232,+/-506,+/-350,+/-329,+/-603,+/-321,+/-577,+/-465,+/-287
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",Bradenton,Estimate,91963,29964,2006,27958,3071,24887,21564,1649,19915,8240,11675,12688,1150,11538,6594,4944,27747,4181,23566,19413,4153
,,Margin of Error,"+/-2,243","+/-1,938",+/-578,"+/-1,852",+/-584,"+/-1,731","+/-1,352",+/-425,"+/-1,303",+/-852,+/-951,"+/-1,039",+/-258,"+/-1,009",+/-813,+/-614,"+/-1,210",+/-454,"+/-1,129","+/-1,069",+/-437
"Tallahassee, FL Metro Area; Florida",Tallahassee,Estimate,28018,10622,1354,9268,1431,7837,7017,1347,5670,2988,2682,4598,972,3626,2328,1298,5781,1870,3911,3204,707
,,Margin of Error,"+/-1,379","+/-1,015",+/-398,+/-887,+/-408,+/-813,+/-741,+/-315,+/-656,+/-502,+/-459,+/-609,+/-277,+/-540,+/-451,+/-315,+/-512,+/-262,+/-438,+/-408,+/-190
"Columbus, GA-AL Metro Area (part); Georgia",Columbus,Estimate,17909,4953,1240,3713,488,3225,4509,1466,3043,1822,1221,3208,1310,1898,1391,507,5239,2564,2675,2248,427
,,Margin of Error,+/-852,+/-620,+/-377,+/-513,+/-168,+/-482,+/-537,+/-300,+/-428,+/-372,+/-276,+/-427,+/-298,+/-307,+/-275,+/-172,+/-467,+/-344,+/-347,+/-324,+/-125
"Macon, GA Metro Area; Georgia",Macon,Estimate,8304,3250,273,2977,475,2502,1987,170,1817,919,898,1044,215,829,630,199,2023,714,1309,1193,116
,,Margin of Error,+/-780,+/-680,+/-186,+/-598,+/-210,+/-512,+/-347,+/-118,+/-310,+/-216,+/-290,+/-251,+/-104,+/-230,+/-182,+/-149,+/-369,+/-203,+/-301,+/-287,+/-67
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,1650,386,6,380,79,301,727,142,585,164,421,258,155,103,70,33,279,91,188,158,30
,,Margin of Error,+/-319,+/-112,+/-13,+/-113,+/-74,+/-115,+/-258,+/-148,+/-210,+/-110,+/-182,+/-182,+/-168,+/-72,+/-60,+/-34,+/-107,+/-49,+/-98,+/-91,+/-32
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,22839,8844,406,8438,1251,7187,6951,474,6477,2926,3551,2425,399,2026,1331,695,4619,1023,3596,3068,528
,,Margin of Error,"+/-1,142",+/-951,+/-178,+/-910,+/-333,+/-887,+/-733,+/-191,+/-721,+/-550,+/-521,+/-387,+/-151,+/-361,+/-302,+/-175,+/-438,+/-220,+/-417,+/-400,+/-134
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,46391,14920,830,14090,1580,12510,14418,851,13567,5096,8471,8148,819,7329,4800,2529,8905,2396,6509,5109,1400
,,Margin of Error,"+/-1,615","+/-1,211",+/-230,"+/-1,243",+/-329,"+/-1,193",+/-949,+/-243,+/-929,+/-604,+/-830,+/-551,+/-177,+/-544,+/-459,+/-401,+/-657,+/-320,+/-597,+/-528,+/-258
"Lexington-Fayette, KY Metro Area; Kentucky",Lexington,Estimate,33893,19469,517,18952,1561,17391,7537,622,6915,2449,4466,3245,678,2567,1800,767,3642,1353,2289,1847,442
,,Margin of Error,"+/-1,411","+/-1,296",+/-260,"+/-1,307",+/-362,"+/-1,272",+/-782,+/-180,+/-760,+/-409,+/-625,+/-452,+/-202,+/-374,+/-323,+/-205,+/-435,+/-247,+/-329,+/-303,+/-118
"Detroit-Warren-Livonia, MI Metro Area; Michigan",Detroit,Estimate,402364,128706,7439,121267,21817,99450,117371,6963,110408,63276,47132,48358,4049,44309,33770,10539,107929,13376,94553,77686,16867
,,Margin of Error,"+/-4,866","+/-3,651",+/-831,"+/-3,645","+/-1,416","+/-3,223","+/-2,723",+/-776,"+/-2,835","+/-2,367","+/-1,827","+/-1,434",+/-461,"+/-1,369","+/-1,211",+/-763,"+/-2,044",+/-746,"+/-1,945","+/-1,676",+/-929
"Duluth, MN-WI Metro Area (part); Minnesota",Duluth,Estimate,5762,1628,177,1451,302,1149,1172,146,1026,509,517,902,184,718,572,146,2060,473,1587,1341,246
,,Margin of Error,+/-465,+/-320,+/-73,+/-296,+/-121,+/-267,+/-237,+/-62,+/-236,+/-182,+/-192,+/-180,+/-74,+/-159,+/-165,+/-62,+/-250,+/-120,+/-220,+/-204,+/-78
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",St. Paul,Estimate,327973,135414,4618,130796,23608,107188,97673,4665,93008,48123,44885,51306,3782,47524,35433,12091,43580,8225,35355,29327,6028
,,Margin of Error,"+/-3,583","+/-3,796",+/-604,"+/-3,767","+/-1,558","+/-3,320","+/-2,599",+/-545,"+/-2,550","+/-1,738","+/-1,982","+/-1,708",+/-418,"+/-1,681","+/-1,312",+/-917,"+/-1,268",+/-544,"+/-1,205","+/-1,056",+/-554
"Gulfport-Biloxi, MS Metro Area; Mississippi",Biloxi,Estimate,14477,5547,583,4964,256,4708,2870,788,2082,979,1103,2123,834,1289,784,505,3937,1356,2581,1985,596
,,Margin of Error,+/-890,+/-850,+/-156,+/-848,+/-110,+/-853,+/-530,+/-229,+/-459,+/-331,+/-323,+/-357,+/-235,+/-282,+/-225,+/-208,+/-482,+/-293,+/-364,+/-312,+/-222
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina",Charlotte,Estimate,177677,77628,2856,74772,5915,68857,53636,3136,50500,17557,32943,23901,2547,21354,13764,7590,22512,5932,16580,13782,2798
,,Margin of Error,"+/-2,944","+/-2,652",+/-505,"+/-2,602",+/-678,"+/-2,412","+/-2,215",+/-538,"+/-2,143","+/-1,131","+/-1,879","+/-1,428",+/-381,"+/-1,421","+/-1,112",+/-740,"+/-1,238",+/-602,"+/-1,014",+/-932,+/-371
"Grand Forks, ND-MN Metro Area (part); North Dakota",Grand Forks,Estimate,3047,1538,208,1330,154,1176,555,190,365,224,141,317,147,170,54,116,637,199,438,385,53
,,Margin of Error,+/-365,+/-255,+/-94,+/-239,+/-99,+/-200,+/-134,+/-71,+/-103,+/-85,+/-65,+/-124,+/-73,+/-106,+/-59,+/-94,+/-166,+/-88,+/-128,+/-128,+/-46
"Akron, OH Metro Area; Ohio",Akron,Estimate,30889,11038,904,10134,2008,8126,7119,749,6370,3860,2510,3836,470,3366,2807,559,8896,1938,6958,6115,843
,,Margin of Error,"+/-1,231","+/-1,040",+/-439,+/-966,+/-541,+/-842,+/-705,+/-233,+/-678,+/-495,+/-503,+/-456,+/-170,+/-408,+/-390,+/-129,+/-592,+/-269,+/-554,+/-526,+/-177
"State College, PA Metro Area; Pennsylvania",State College,Estimate,11992,6827,506,6321,581,5740,2675,335,2340,1504,836,1327,307,1020,820,200,1163,278,885,775,110
,,Margin of Error,+/-637,+/-562,+/-240,+/-560,+/-197,+/-555,+/-398,+/-140,+/-375,+/-299,+/-205,+/-243,+/-128,+/-223,+/-206,+/-81,+/-218,+/-97,+/-201,+/-192,+/-83
"Columbia, SC Metro Area; South Carolina",Columbia,Estimate,48832,20280,1906,18374,1131,17243,10451,1993,8458,2891,5567,6835,2214,4621,2772,1849,11266,4912,6354,5151,1203
,,Margin of Error,"+/-1,502","+/-1,400",+/-407,"+/-1,400",+/-299,"+/-1,390",+/-972,+/-412,+/-845,+/-510,+/-742,+/-664,+/-384,+/-577,+/-452,+/-357,+/-677,+/-505,+/-511,+/-473,+/-246
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area; South Carolina",Myrtle Beach,Estimate,19508,8735,223,8512,539,7973,4062,476,3586,963,2623,2064,530,1534,1030,504,4647,790,3857,3282,575
,,Margin of Error,"+/-1,149","+/-1,040",+/-118,"+/-1,017",+/-225,"+/-1,024",+/-605,+/-255,+/-578,+/-322,+/-504,+/-343,+/-208,+/-286,+/-245,+/-170,+/-567,+/-190,+/-487,+/-464,+/-205
"Aberdeen, SD Micro Area; South Dakota",Aberdeen,Estimate,645,219,21,198,0,198,83,56,27,0,27,153,3,150,140,10,190,135,55,50,5
,,Margin of Error,+/-148,+/-117,+/-24,+/-109,+/-74,+/-109,+/-58,+/-52,+/-31,+/-74,+/-31,+/-106,+/-6,+/-107,+/-107,+/-11,+/-82,+/-75,+/-30,+/-31,+/-5
